"hour","num_of_start_times"
"23","18430"
"17","17712"
"18","17510"
"0","17201"
"19","16934"
"20","15666"
"16","15471"
"1","14620"
"21","14183"
"22","12043"
"15","10675"
"2","9405"
"3","8142"
"14","8067"
"4","5908"
"13","5427"
"5","4857"
"12","3459"
"6","3335"
"7","2195"
"11","1732"
"8","1246"
"10","837"
"9","639"
